EXIOBASE,NACElevel,NACE Code,NACE Code and Level,NACE class,ISIC Class,ISIC Group,ISIC Division,ISIC Section,ISIC Unique Group code,ISIC Unique Class code
Other business activities (74),N,78.3,N78.30,Other human resources provision,Other human resources provision,Other human resources provision,Employment activities,Administrative and support service activities,N_78_783,N_78_783_7830
"Recreational, cultural and sporting activities (92)",J,63.91,J63.91,News agency activities,News agency activities,Other information service activities,Information service activities,Information and communication,J_63_639,J_63_639_6391
Other business activities (74),J,63.99,J63.99,Other information service activities n.e.c.,Other information service activities n.e.c.,Other information service activities,Information service activities,Information and communication,J_63_639,J_63_639_6399
Other land transport,H,49.41,H49.41,Freight transport by road,Freight transport by road,Other land transport,Land transport and transport via pipelines,Transportation and storage,H_49_492,H_49_492_4923
Other land transport,H,49.42,H49.42,Removal services,Freight transport by road,Other land transport,Land transport and transport via pipelines,Transportation and storage,H_49_492,H_49_492_4923
Other land transport,H,49.39,H49.39,Other passenger land transport n.e.c.,Other passenger land transport,Other land transport,Land transport and transport via pipelines,Transportation and storage,H_49_492,H_49_492_4922
Other land transport,H,49.32,H49.32,Taxi operation,Other passenger land transport,Other land transport,Land transport and transport via pipelines,Transportation and storage,H_49_492,H_49_492_4922
Other land transport,H,49.31,H49.31,Urban and suburban passenger land transport,Urban and suburban passenger land transport,Other land transport,Land transport and transport via pipelines,Transportation and storage,H_49_492,H_49_492_4921
Manufacture of furniture; manufacturing n.e.c. (36),C,32.99,C32.99,Other manufacturing n.e.c.,Other manufacturing n.e.c.,Other manufacturing n.e.c.,Other manufacturing,Manufacturing,C_32_329,C_32_329_3290
Other service activities (93),S,96.03,S96.03,Funeral and related activities,Funeral and related activities,Other personal service activities,Other personal service activities,Other service activities,S_96_960,S_96_960_9603
Other service activities (93),S,96.02,S96.02,Hairdressing and other beauty treatment,Hairdressing and other beauty treatment,Other personal service activities,Other personal service activities,Other service activities,S_96_960,S_96_960_9602
Other service activities (93),S,96.09,S96.09,Other personal service activities n.e.c.,Other personal service activities n.e.c.,Other personal service activities,Other personal service activities,Other service activities,S_96_960,S_96_960_9609
Other service activities (93),S,96.04,S96.04,Physical well-being activities,Other personal service activities n.e.c.,Other personal service activities,Other personal service activities,Other service activities,S_96_960,S_96_960_9609
Other service activities (93),S,96.01,S96.01,Washing and (dry-)cleaning of textile and fur products,Washing and (dry-) cleaning of textile and fur products,Other personal service activities,Other personal service activities,Other service activities,S_96_960,S_96_960_9601
Other business activities (74),M,74.9,M74.90,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749,M_74_749_7490
Other business activities (74),M,74.3,M74.30,Translation and interpretation activities,"Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities n.e.c.","Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_749,M_74_749_7490
"Recreational, cultural and sporting activities (92)",N,79.9,N79.90,Other reservation service and related activities,Other reservation service and related activities,Other reservation service and related activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_799,N_79_799_7990
Supporting and auxiliary transport activities; activities of travel agencies (63),N,79.9,N79.90,Other reservation service and related activities,Other reservation service and related activities,Other reservation service and related activities,"Travel agency, tour operator, reservation service and related activities",Administrative and support service activities,N_79_799,N_79_799_7990
Health and social work (85),Q,87.9,Q87.90,Other residential care activities,Other residential care activities,Other residential care activities,Residential care activities,Human health and social work activities,Q_87_879,Q_87_879_8790
Health and social work (85),Q,88.91,Q88.91,Child day-care activities,Other social work activities without accommodation,Other social work activities without accommodation,Social work activities without accommodation,Human health and social work activities,Q_88_889,Q_88_889_8890
Health and social work (85),Q,88.99,Q88.99,Other social work activities without accommodation n.e.c.,Other social work activities without accommodation,Other social work activities without accommodation,Social work activities without accommodation,Human health and social work activities,Q_88_889,Q_88_889_8890
Construction (45),F,43.99,F43.99,Other specialised construction activities n.e.c.,Other specialized construction activities,Other specialized construction activities,Specialized construction activities,Construction,F_43_439,F_43_439_4390
Construction (45),F,43.91,F43.91,Roofing activities,Other specialized construction activities,Other specialized construction activities,Specialized construction activities,Construction,F_43_439,F_43_439_4390
Re-processing of secondary construction material into aggregates,F,43.99,F43.99,Other specialised construction activities n.e.c.,Other specialized construction activities,Other specialized construction activities,Specialized construction activities,Construction,F_43_439,F_43_439_4390
Re-processing of secondary construction material into aggregates,F,43.91,F43.91,Roofing activities,Other specialized construction activities,Other specialized construction activities,Specialized construction activities,Construction,F_43_439,F_43_439_4390
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.74,G46.74,"Wholesale of hardware, plumbing and heating equipment and supplies","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4663
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.73,G46.73,"Wholesale of wood, construction materials and sanitary equipment","Wholesale of construction materials, hardware, plumbing and heating equipment and supplies",Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4663
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.72,G46.72,Wholesale of metals and metal ores,Wholesale of metals and metal ores,Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4662
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.71,G46.71,"Wholesale of solid, liquid and gaseous fuels and related products","Wholesale of solid, liquid and gaseous fuels and related products",Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4661
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.75,G46.75,Wholesale of chemical products,Wholesale of waste and scrap and other products n.e.c.,Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4669
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.76,G46.76,Wholesale of other intermediate products,Wholesale of waste and scrap and other products n.e.c.,Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4669
"Wholesale trade and commission trade, except of motor vehicles and motorcycles (51)",G,46.77,G46.77,Wholesale of waste and scrap,Wholesale of waste and scrap and other products n.e.c.,Other specialized wholesale,"Wholesale trade, except of motor vehicles and motorcycles",Wholesale and retail trade; repair of motor vehicles and motorcycles,G_46_466,G_46_466_4669
Post and telecommunications (64),J,61.9,J61.90,Other telecommunications activities,Other telecommunications activities,Other telecommunications activities,Telecommunications,Information and communication,J_61_619,J_61_619_6190
Air transport (62),H,51.1,H51.10,Passenger air transport,Passenger air transport,Passenger air transport,Air transport,Transportation and storage,H_51_511,H_51_511_5110
"Insurance and pension funding, except compulsory social security (66)",K,65.3,K65.30,Pension funding,Pension funding,Pension funding,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities,K_65_653,K_65_653_6530
Other business activities (74),M,74.2,M74.20,Photographic activities,Photographic activities,Photographic activities,"Other professional, scientific and technical activities","Professional, scientific and technical activities",M_74_742,M_74_742_7420
Cultivation of crops nec,A,1.3,A01.30,Plant propagation,Plant propagation,Plant propagation,"Crop and animal production, hunting and related service activities","Agriculture, forestry and fishing",A_1_13,A_1_13_130
Post and telecommunications (64),H,53.1,H53.10,Postal activities under universal service obligation,Postal activities,Postal activities,Postal and courier activities,Transportation and storage,H_53_531,H_53_531_5310
Education (80),P,85.1,P85.10,Pre-primary education,Pre-primary and primary education,Pre-primary and primary education,Education,Education,P_85_851,P_85_851_8510
Education (80),P,85.2,P85.20,Primary education,Pre-primary and primary education,Pre-primary and primary education,Education,Education,P_85_851,P_85_851_8510
"Publishing, printing and reproduction of recorded media (22)",C,18.12,C18.12,Other printing,Printing,Printing and service activities related to printing,Printing and reproduction of recorded media,Manufacturing,C_18_181,C_18_181_1811
"Publishing, printing and reproduction of recorded media (22)",C,18.11,C18.11,Printing of newspapers,Printing,Printing and service activities related to printing,Printing and reproduction of recorded media,Manufacturing,C_18_181,C_18_181_1811
"Publishing, printing and reproduction of recorded media (22)",C,18.14,C18.14,Binding and related services,Service activities related to printing,Printing and service activities related to printing,Printing and reproduction of recorded media,Manufacturing,C_18_181,C_18_181_1812
"Publishing, printing and reproduction of recorded media (22)",C,18.13,C18.13,Pre-press and pre-media services,Service activities related to printing,Printing and service activities related to printing,Printing and reproduction of recorded media,Manufacturing,C_18_181,C_18_181_1812
Other business activities (74),N,80.1,N80.10,Private security activities,Private security activities,Private security activities,Security and investigation activities,Administrative and support service activities,N_80_801,N_80_801_8010
Manufacture of fish products,C,10.2,C10.20,"Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs","Processing and preserving of fish, crustaceans and molluscs",Manufacture of food products,Manufacturing,C_10_102,C_10_102_1020
Processing of Food products nec,C,10.32,C10.32,Manufacture of fruit and vegetable juice,Processing and preserving of fruit and vegetables,Processing and preserving of fruit and vegetables,Manufacture of food products,Manufacturing,C_10_103,C_10_103_1030
Processing of Food products nec,C,10.39,C10.39,Other processing and preserving of fruit and vegetables,Processing and preserving of fruit and vegetables,Processing and preserving of fruit and vegetables,Manufacture of food products,Manufacturing,C_10_103,C_10_103_1030
Processing of Food products nec,C,10.31,C10.31,Processing and preserving of potatoes,Processing and preserving of fruit and vegetables,Processing and preserving of fruit and vegetables,Manufacture of food products,Manufacturing,C_10_103,C_10_103_1030
Processing of meat cattle,C,10.11,C10.11,Processing and preserving of meat,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Processing of meat cattle,C,10.13,C10.13,Production of meat and poultry meat products,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Processing of meat pigs,C,10.11,C10.11,Processing and preserving of meat,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Processing of meat pigs,C,10.13,C10.13,Production of meat and poultry meat products,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Processing of meat poultry,C,10.12,C10.12,Processing and preserving of poultry meat,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Production of meat products nec,C,10.11,C10.11,Processing and preserving of meat,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Production of meat products nec,C,10.13,C10.13,Production of meat and poultry meat products,Processing and preserving of meat,Processing and preserving of meat,Manufacture of food products,Manufacturing,C_10_101,C_10_101_1010
Public administration and defence; compulsory social security (75),O,84.22,O84.22,Defence activities,Defence activities,Provision of services to the community as a whole,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_842,O_84_842_8422
Public administration and defence; compulsory social security (75),O,84.21,O84.21,Foreign affairs,Foreign affairs,Provision of services to the community as a whole,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_842,O_84_842_8421
Public administration and defence; compulsory social security (75),O,84.25,O84.25,Fire service activities,Public order and safety activities,Provision of services to the community as a whole,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_842,O_84_842_8423
Public administration and defence; compulsory social security (75),O,84.23,O84.23,Justice and judicial activities,Public order and safety activities,Provision of services to the community as a whole,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_842,O_84_842_8423
Public administration and defence; compulsory social security (75),O,84.24,O84.24,Public order and safety activities,Public order and safety activities,Provision of services to the community as a whole,Public administration and defence; compulsory social security,Public administration and defence; compulsory social security,O_84_842,O_84_842_8423
"Publishing, printing and reproduction of recorded media (22)",J,58.11,J58.11,Book publishing,Book publishing,"Publishing of books, periodicals and other publishing activities",Publishing activities,Information and communication,J_58_581,J_58_581_5811
"Publishing, printing and reproduction of recorded media (22)",J,58.19,J58.19,Other publishing activities,Other publishing activities,"Publishing of books, periodicals and other publishing activities",Publishing activities,Information and communication,J_58_581,J_58_581_5819
"Publishing, printing and reproduction of recorded media (22)",J,58.12,J58.12,Publishing of directories and mailing lists,Publishing of directories and mailing lists,"Publishing of books, periodicals and other publishing activities",Publishing activities,Information and communication,J_58_581,J_58_581_5812
"Publishing, printing and reproduction of recorded media (22)",J,58.14,J58.14,Publishing of journals and periodicals,"Publishing of newspapers, journals and periodicals","Publishing of books, periodicals and other publishing activities",Publishing activities,Information and communication,J_58_581,J_58_581_5813
"Publishing, printing and reproduction of recorded media (22)",J,58.13,J58.13,Publishing of newspapers,"Publishing of newspapers, journals and periodicals","Publishing of books, periodicals and other publishing activities",Publishing activities,Information and communication,J_58_581,J_58_581_5813
Quarrying of sand and clay,B,8.12,B08.12,Operation of gravel and sand pits; mining of clays and kaolin,"Quarrying of stone, sand and clay","Quarrying of stone, sand and clay",Other mining and quarrying,Mining and quarrying,B_8_81,B_8_81_810
Quarrying of stone,B,8.11,B08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate","Quarrying of stone, sand and clay","Quarrying of stone, sand and clay",Other mining and quarrying,Mining and quarrying,B_8_81,B_8_81_810
"Recreational, cultural and sporting activities (92)",J,60.1,J60.10,Radio broadcasting,Radio broadcasting,Radio broadcasting,Programming and broadcasting activities,Information and communication,J_60_601,J_60_601_6010
Real estate activities (70),L,68.32,L68.32,Management of real estate on a fee or contract basis,Real estate activities on a fee or contract basis,Real estate activities on a fee or contract basis,Real estate activities,Real estate activities,L_68_682,L_68_682_6820
Real estate activities (70),L,68.31,L68.31,Real estate agencies,Real estate activities on a fee or contract basis,Real estate activities on a fee or contract basis,Real estate activities,Real estate activities,L_68_682,L_68_682_6820
Real estate activities (70),L,68.1,L68.10,Buying and selling of own real estate,Real estate activities with own or leased property,Real estate activities with own or leased property,Real estate activities,Real estate activities,L_68_681,L_68_681_6810
Real estate activities (70),L,68.2,L68.20,Rental and operating of own or leased real estate,Real estate activities with own or leased property,Real estate activities with own or leased property,Real estate activities,Real estate activities,L_68_681,L_68_681_6810
"Insurance and pension funding, except compulsory social security (66)",K,65.2,K65.20,Reinsurance,Reinsurance,Reinsurance,"Insurance, reinsurance and pension funding, except compulsory social security",Financial and insurance activities,K_65_652,K_65_652_6520
"Biogasification of food waste, incl. land application",E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
"Biogasification of paper, incl. land application",E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
"Biogasification of sewage slugde, incl. land application",E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
"Composting of food waste, incl. land application",E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
"Composting of paper and wood, incl. land application",E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Food,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Metals and Inert materials,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Oil/Hazardous waste,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Paper,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Plastic,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Textiles,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Incineration of waste: Wood,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Food,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Inert/metal/hazardous,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Paper,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Plastic,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Textiles,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Landfill of waste: Wood,E,39,E39.00,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,Remediation activities and other waste management services,"Water supply; sewerage, waste management and remediation activities",E_39_390,E_39_390_3900
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.11,N77.11,Rental and leasing of cars and light motor vehicles,Renting and leasing of motor vehicles,Renting and leasing of motor vehicles,Rental and leasing activities,Administrative and support service activities,N_77_771,N_77_771_7710
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.12,N77.12,Rental and leasing of trucks,Renting and leasing of motor vehicles,Renting and leasing of motor vehicles,Rental and leasing activities,Administrative and support service activities,N_77_771,N_77_771_7710
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.31,N77.31,Rental and leasing of agricultural machinery and equipment,"Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.35,N77.35,Rental and leasing of air transport equipment,"Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.32,N77.32,Rental and leasing of construction and civil engineering machinery and equipment,"Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.33,N77.33,Rental and leasing of office machinery and equipment (including computers),"Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.39,N77.39,"Rental and leasing of other machinery, equipment and tangible goods n.e.c.","Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.34,N77.34,Rental and leasing of water transport equipment,"Renting and leasing of other machinery, equipment and tangible goods","Renting and leasing of other machinery, equipment and tangible goods",Rental and leasing activities,Administrative and support service activities,N_77_773,N_77_773_7730
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.29,N77.29,Rental and leasing of other personal and household goods,Renting and leasing of other personal and household goods,Renting and leasing of personal and household goods,Rental and leasing activities,Administrative and support service activities,N_77_772,N_77_772_7729
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.21,N77.21,Rental and leasing of recreational and sports goods,Renting and leasing of recreational and sports goods,Renting and leasing of personal and household goods,Rental and leasing activities,Administrative and support service activities,N_77_772,N_77_772_7721
Renting of machinery and equipment without operator and of personal and household goods (71),N,77.22,N77.22,Rental of video tapes and disks,Renting of video tapes and disks,Renting and leasing of personal and household goods,Rental and leasing activities,Administrative and support service activities,N_77_772,N_77_772_7722
"Manufacture of radio, television and communication equipment and apparatus (32)",S,95.12,S95.12,Repair of communication equipment,Repair of communication equipment,Repair of computers and communication equipment,Repair of computers and personal and household goods,Other service activities,S_95_951,S_95_951_9512
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.12,S95.12,Repair of communication equipment,Repair of communication equipment,Repair of computers and communication equipment,Repair of computers and personal and household goods,Other service activities,S_95_951,S_95_951_9512
Computer and related activities (72),S,95.11,S95.11,Repair of computers and peripheral equipment,Repair of computers and peripheral equipment,Repair of computers and communication equipment,Repair of computers and personal and household goods,Other service activities,S_95_951,S_95_951_9511
Manufacture of electrical machinery and apparatus n.e.c. (31),C,33.14,C33.14,Repair of electrical equipment,Repair of electrical equipment,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3314
Manufacture of electrical machinery and apparatus n.e.c. (31),C,33.13,C33.13,Repair of electronic and optical equipment,Repair of electronic and optical equipment,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3313
"Manufacture of medical, precision and optical instruments, watches and clocks (33)",C,33.13,C33.13,Repair of electronic and optical equipment,Repair of electronic and optical equipment,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3313
"Manufacture of radio, television and communication equipment and apparatus (32)",C,33.13,C33.13,Repair of electronic and optical equipment,Repair of electronic and optical equipment,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3313
"Manufacture of fabricated metal products, except machinery and equipment (28)",C,33.11,C33.11,Repair of fabricated metal products,Repair of fabricated metal products,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3311
Manufacture of machinery and equipment n.e.c. (29),C,33.12,C33.12,Repair of machinery,Repair of machinery,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3312
Manufacture of furniture; manufacturing n.e.c. (36),C,33.19,C33.19,Repair of other equipment,Repair of other equipment,"Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3319
Manufacture of other transport equipment (35),C,33.16,C33.16,Repair and maintenance of aircraft and spacecraft,"Repair of transport equipment, except motor vehicles","Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3315
Manufacture of other transport equipment (35),C,33.17,C33.17,Repair and maintenance of other transport equipment,"Repair of transport equipment, except motor vehicles","Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3315
Manufacture of other transport equipment (35),C,33.15,C33.15,Repair and maintenance of ships and boats,"Repair of transport equipment, except motor vehicles","Repair of fabricated metal products, machinery and equipment",Repair and installation of machinery and equipment,Manufacturing,C_33_331,C_33_331_3315
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.21,S95.21,Repair of consumer electronics,Repair of consumer electronics,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9521
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.23,S95.23,Repair of footwear and leather goods,Repair of footwear and leather goods,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9523
Manufacture of furniture; manufacturing n.e.c. (36),S,95.24,S95.24,Repair of furniture and home furnishings,Repair of furniture and home furnishings,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9524
Manufacture of machinery and equipment n.e.c. (29),S,95.22,S95.22,Repair of household appliances and home and garden equipment,Repair of household appliances and home and garden equipment,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9522
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.22,S95.22,Repair of household appliances and home and garden equipment,Repair of household appliances and home and garden equipment,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9522
Manufacture of furniture; manufacturing n.e.c. (36),S,95.29,S95.29,Repair of other personal and household goods,Repair of other personal and household goods,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9529
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.29,S95.29,Repair of other personal and household goods,Repair of other personal and household goods,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9529
"Retail trade, except of motor vehicles and motorcycles; repair of personal and household goods (52)",S,95.25,S95.25,"Repair of watches, clocks and jewellery",Repair of other personal and household goods,Repair of personal and household goods,Repair of computers and personal and household goods,Other service activities,S_95_952,S_95_952_9529
"Publishing, printing and reproduction of recorded media (22)",C,18.2,C18.20,Reproduction of recorded media,Reproduction of recorded media,Reproduction of recorded media,Printing and reproduction of recorded media,Manufacturing,C_18_182,C_18_182_1820
Research and development (73),M,72.19,M72.19,Other research and experimental development on natural sciences and engineering,Research and experimental development on natural sciences and engineering,Research and experimental development on natural sciences and engineering,Scientific research and development,"Professional, scientific and technical activities",M_72_721,M_72_721_7210
Research and development (73),M,72.11,M72.11,Research and experimental development on biotechnology,Research and experimental development on natural sciences and engineering,Research and experimental development on natural sciences and engineering,Scientific research and development,"Professional, scientific and technical activities",M_72_721,M_72_721_7210
Research and development (73),M,72.2,M72.20,Research and experimental development on social sciences and humanities,Research and experimental development on social sciences and humanities,Research and experimental development on social sciences and humanities,Scientific research and development,"Professional, scientific and technical activities",M_72_722,M_72_722_7220
Health and social work (85),Q,87.2,Q87.20,"Residential care activities for mental retardation, mental health and substance abuse","Residential care activities for mental retardation, mental health and substance abuse","Residential care activities for mental retardation, mental health and substance abuse",Residential care activities,Human health and social work activities,Q_87_872,Q_87_872_8720
Health and social work (85),Q,87.3,Q87.30,Residential care activities for the elderly and disabled,Residential care activities for the elderly and disabled,Residential care activities for the elderly and disabled,Residential care activities,Human health and social work activities,Q_87_873,Q_87_873_8730
Health and social work (85),Q,87.1,Q87.10,Residential nursing care activities,Residential nursing care facilities,Residential nursing care facilities,Residential care activities,Human health and social work activities,Q_87_871,Q_87_871_8710
